,CountyName,StateName,dem_to_rep_ratio,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym
0,Kings,NY,4.541511869,3.0,2.0,1.0,2,1,2.0
1,Queens,NY,3.46334898,3.0,2.0,1.0,2,1,2.0
2,Los Angeles,CA,3.2015412939999996,3.0,3.0,3.0,3,1,1.0
3,Cook,IL,3.556126692,3.0,2.0,2.0,2,1,2.0
4,Bronx,NY,9.356456862,3.0,2.0,1.0,2,1,2.0
5,Miami-Dade,FL,1.868706194,4.0,2.0,2.0,2,1,3.0
6,Maricopa,AZ,0.940518705,5.0,2.0,2.0,2,1,3.0
7,New York,NY,8.917633107,3.0,2.0,1.0,2,1,2.0
8,Wayne,MI,2.26838375,4.0,4.0,4.0,2,1,2.0
9,Harris,TX,1.296652655,4.0,3.0,1.0,4,1,3.0
10,Middlesex,MA,2.36750033,4.0,2.0,2.0,2,1,2.0
11,Nassau,NY,1.1310208000000002,3.0,2.0,1.0,2,1,2.0
12,Essex,NJ,3.8121596810000002,3.0,2.0,2.0,2,1,2.0
13,Bergen,NJ,1.317223935,3.0,2.0,2.0,2,1,2.0
14,Suffolk,NY,0.8670194259999999,3.0,2.0,1.0,2,1,2.0
15,Philadelphia,PA,5.370443594,4.0,4.0,4.0,2,1,2.0
16,Hidalgo,TX,2.442518811,5.0,3.0,1.0,4,1,3.0
17,Hudson,NJ,3.3423118489999997,3.0,2.0,2.0,2,1,2.0
18,Broward,FL,2.120398082,5.0,2.0,2.0,2,1,3.0
19,Palm Beach,FL,1.3754414430000002,5.0,2.0,2.0,2,1,3.0
20,Westchester,NY,2.0796263280000002,3.0,2.0,1.0,2,1,2.0
21,Clark,NV,1.256735519,5.0,4.0,4.0,2,1,3.0
22,Hartford,CT,1.622448084,4.0,4.0,4.0,2,1,2.0
23,Middlesex,NJ,1.570063358,3.0,2.0,2.0,2,1,2.0
24,Fairfield,CT,1.523341892,4.0,4.0,4.0,2,1,2.0
25,Orange,CA,1.202727803,3.0,3.0,3.0,3,1,1.0
26,Bexar,TX,1.329613495,4.0,3.0,1.0,4,1,3.0
27,Union,NJ,2.164224682,3.0,2.0,2.0,2,1,2.0
28,Essex,MA,1.6308430409999999,4.0,2.0,2.0,2,1,2.0
29,Riverside,CA,1.121388896,3.0,3.0,3.0,3,1,1.0
30,Passaic,NJ,1.601588434,3.0,2.0,2.0,2,1,2.0
31,Oakland,MI,1.18626017,4.0,4.0,4.0,2,1,2.0
32,Dallas,TX,1.7535226000000002,4.0,3.0,1.0,4,1,3.0
33,Suffolk,MA,4.873981079,4.0,2.0,2.0,2,1,2.0
34,Worcester,MA,1.260625817,4.0,2.0,2.0,2,1,2.0
35,New Haven,CT,1.292748101,4.0,4.0,4.0,2,1,2.0
36,Richmond,NY,0.730926585,3.0,2.0,1.0,2,1,2.0
37,Norfolk,MA,1.852768474,4.0,2.0,2.0,2,1,2.0
38,Macomb,MI,0.784799591,4.0,4.0,4.0,2,1,2.0
39,Ocean,NJ,0.486656727,3.0,2.0,2.0,2,1,2.0
40,San Bernardino,CA,1.256573514,3.0,3.0,3.0,3,1,1.0
41,Cameron,TX,2.015540174,5.0,3.0,1.0,4,1,3.0
42,Hennepin,MN,2.2385566040000002,5.0,5.0,5.0,2,1,2.0
43,Providence,RI,1.5723575630000002,5.0,2.0,2.0,2,4,4.0
44,Montgomery,PA,1.5736522240000002,4.0,4.0,4.0,2,1,2.0
45,St Louis,MO,1.416283826,4.0,3.0,3.0,3,1,5.0
46,Monmouth,NJ,0.822807891,3.0,2.0,2.0,2,1,2.0
47,Montgomery,MD,3.8599952539999998,5.0,2.0,1.0,2,1,2.0
48,San Diego,CA,1.53940632,3.0,3.0,3.0,3,1,1.0
49,Prince Georges,MD,10.48578221,5.0,2.0,1.0,2,1,2.0
50,Morris,NJ,0.9141594820000001,3.0,2.0,2.0,2,1,2.0
51,Marion,IN,1.6331620130000002,4.0,4.0,1.0,3,1,2.0
52,Hampden,MA,1.430895342,4.0,2.0,2.0,2,1,2.0
53,Plymouth,MA,1.174604963,4.0,2.0,2.0,2,1,2.0
54,Pinellas,FL,0.977006785,5.0,2.0,2.0,2,1,3.0
55,King,WA,3.320353704,4.0,4.0,1.0,2,1,2.0
56,Tarrant,TX,0.8336932420000001,4.0,3.0,1.0,4,1,3.0
57,Delaware,PA,1.6030252919999999,4.0,4.0,4.0,2,1,2.0
58,Hillsborough,FL,1.1537302809999999,5.0,2.0,2.0,2,1,3.0
59,Bristol,MA,1.228531055,4.0,2.0,2.0,2,1,2.0
60,Cuyahoga,OH,2.162037012,4.0,1.0,1.0,2,1,3.0
61,Baltimore,MD,1.461174629,5.0,2.0,1.0,2,1,2.0
62,Erie,NY,1.1441984459999999,3.0,2.0,1.0,2,1,2.0
63,Washington,DC,22.22982001,5.0,4.0,4.0,2,1,2.0
64,Mercer,NJ,2.26820081,3.0,2.0,2.0,2,1,2.0
65,Franklin,OH,1.7618835,4.0,1.0,1.0,2,1,3.0
66,Pima,AZ,1.341836491,5.0,2.0,2.0,2,1,3.0
67,Bucks,PA,1.01642117,4.0,4.0,4.0,2,1,2.0
68,Camden,NJ,2.020032768,3.0,2.0,2.0,2,1,2.0
69,Fairfax,VA,2.251810285,5.0,4.0,4.0,2,4,2.0
70,Fulton,GA,2.522019307,4.0,2.0,2.0,2,1,3.0
71,Du Page,IL,1.373806448,3.0,2.0,2.0,2,1,2.0
72,Orleans,LA,5.516054668,4.0,2.0,2.0,2,1,2.0
73,Somerset,NJ,1.30812915,3.0,2.0,2.0,2,1,2.0
74,Jefferson,LA,0.7337795570000001,4.0,2.0,2.0,2,1,2.0
75,Polk,FL,0.745937877,5.0,2.0,2.0,2,1,3.0
76,El Paso,TX,2.6632619969999998,4.0,3.0,1.0,4,1,3.0
77,Milwaukee,WI,2.2948444919999997,4.0,2.0,2.0,2,1,2.0
78,Shelby,TN,1.79632813,5.0,4.0,4.0,3,4,4.0
